Year,Author(s),Hugo,Novel,Publisher,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf,Series,Nika Shelf,Westdac,Westdac Date Read,Westdac Rating,Westdac Shelf
2007.0,Nancy Kress,,Fountain of Age,Asimov's Science Fiction,,,,,,,,,,,
2007.0,Lucius Shepard,,Stars Seen Through Stone,Fantasy & Science Fiction,,,,,,,,,,,
2007.0,Gene Wolfe,,Memorare,Fantasy & Science Fiction,,,,,,,,,,,
2006.0,Connie Willis,Winner,Inside Job,Asimov's Science Fiction,,,,,,,,,,,
2006.0,James Patrick Kelly,,Burn,Tachyon Publications,,,,,,,,,,,
2006.0,Kelly Link,,Magic for Beginners,Magic for Beginners (Small Beer Press),In the queue,,,,,,,,,,
2006.0,Ian McDonald,,The Little Goddess,Asimov's Science Fiction,,,,,,,,,,,
2006.0,Robert J. Sawyer,,Identity Theft,Down These Dark Spaceways (Science Fiction Book Club),,,,,,,,,,,
2006.0,Robert Reed,Winner,A Billion Eves,Asimov's Science Fiction,,,,,,,,,,,
2006.0,Michael Swanwick,,Lord Weary's Empire,Asimov's Science Fiction,,,,,,,,,,,
2006.0,Robert Charles Wilson,,Julian: A Christmas Story,PS Publishing,,,,,,,,,,,
2006.0,Paul Melko,,The Walls of the Universe,Asimov's Science Fiction,,,,,,,,,,,
2006.0,William Shunn,,Inclination,Asimov's Science Fiction,,,,,,,,,,,
2005.0,Charles Stross,Winner,The Concrete Jungle,The Atrocity Archives (Golden Gryphon Press),,,,,,,,,,,
2005.0,Bradley Denton,,Sergeant Chip,Fantasy & Science Fiction,,,,,,,,,,,
2005.0,Charles Stross,,Elector,Asimov's Science Fiction,,,,,,,,,,,
2005.0,Lois McMaster Bujold,,Winterfair Gifts,Irresistible Forces (New American Library),,,,,,,,,,,
2005.0,Michael A. Burstein,,Time Ablaze,Analog Science Fiction and Fact,,,,,,,,,,,
2004.0,Vernor Vinge,Winner,The Cookie Monster,Analog Science Fiction and Fact,,,,,,,,,,,
2004.0,Kage Baker,,The Empress of Mars,Asimov's Science Fiction,,,,,,,,,,,
2004.0,Connie Willis,,Just Like the Ones We Used to Know,Asimov's Science Fiction,,,,,,,,,,,
2004.0,Walter Jon Williams,,The Green Leopard Plague,Asimov's Science Fiction,,,,,,,,,,,
2004.0,Catherine Asaro,,Walk in Silence,Analog Science Fiction and Fact,,,,,,,,,,,
2003.0,Neil Gaiman,Winner,Coraline,HarperCollins,,,,,,,,,,,
2003.0,Richard Chwedyk,,Brontë's Egg,Fantasy & Science Fiction,,,,,,,,,,,
2003.0,Ian R. MacLeod,,Breathmoss,Asimov's Science Fiction,,,,,,,,,,,
2003.0,Paul Di Filippo,,A Year in the Linear City,PS Publishing,,,,,,,,,,,
2003.0,Charles Coleman Finlay,,The Political Officer,Fantasy & Science Fiction,,,,,,,,,,,
2003.0,Pat Forde,,In Spirit,Analog Science Fiction and Fact,,,,,,,,,,,
2002.0,Vernor Vinge,Winner,Fast Times at Fairmont High,The Collected Stories of Vernor Vinge (Tor Books),,,,,,,,,,,
2002.0,Allen Steele,,Stealing Alabama,Asimov's Science Fiction,,,,,,,,,,,
2002.0,Brenda Clough,,May Be Some Time,Analog Science Fiction and Fact,,,,,,,,,,,
2002.0,Andy Duncan,,The Chief Designer,Asimov's Science Fiction,,,,,,,,,,,
2002.0,Jack Dann,,The Diamond Pit,Jubilee (Tor Books),,,,,,,,,,,
2001.0,Jack Williamson,Winner,The Ultimate Earth,Analog Science Fiction and Fact,,,,,,,,,,,
2001.0,Catherine Asaro,,A Roll of the Dice,Analog Science Fiction and Fact,,,,,,,,,,,
