Year,Author(s),Hugo,Novelette,Publisher or publication,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf
2005.0,Paolo Bacigalupi,,The People of Sand and Slag,Fantasy & Science Fiction,,,,,
2005.0,Michael F. Flynn,,The Clapping Hands of God,Analog Science Fiction and Fact,,,,,
2005.0,Kelly Link,Winner,The Faery Handbag,The Faery Reel (Viking Publishers),,,,,
2005.0,Christopher Rowe,,The Voluntary State,Scifi.com,,,,,
2005.0,Benjamin Rosenbaum,,"Biographical Notes to 'A Discourse on the Nature of Causality, with Airplanes', by Benjamin Rosenbaum",All-Star Zeppelin Adventure Stories (Wheatland Press),,,,,
2004.0,Robert Reed,,Hexagons,Asimov's Science Fiction,,,,,
2004.0,Michael Swanwick,Winner,Legions in Time,Asimov's Science Fiction,,,,,
2004.0,Jeffrey Ford,,The Empire of Ice Cream,Scifi.com,,,,,
2004.0,Jay Lake,,Into the Gardens of Sweet Night,Writers of the Future #19 (Galaxy Press),,,,,
2004.0,James Patrick Kelly,,Bernardo's House,Asimov's Science Fiction,,,,,
2004.0,Charles Stross,,Nightfall,Asimov's Science Fiction,,,,,
2003.0,Ursula K. Le Guin,,The Wild Girls,Asimov's Science Fiction,,,,,
2003.0,Michael Swanwick,Winner,Slow Life,Analog Science Fiction and Fact,,,,,
2003.0,Maureen F. McHugh,,Presence,Fantasy & Science Fiction,,,,,
2003.0,Gregory Frost,,Madonna of the Maquiladora,Asimov's Science Fiction,,,,,
2003.0,Charles Stross,,Halo,Asimov's Science Fiction,,,,,
2002.0,Ted Chiang,Winner,Hell Is the Absence of God,Starlight #3 (Tor Books),Read,,,,
2002.0,Shane Tourtellotte,,The Return of Spring,Analog Science Fiction and Fact,,,,,
2002.0,James Patrick Kelly,,Undone,Asimov's Science Fiction,,,,,
2002.0,Charles Stross,,Lobsters,Asimov's Science Fiction,,,,,
2002.0,Allen Steele,,The Days Between,Asimov's Science Fiction,,,,,
2001.0,Stephen Baxter,,On the Orion Line,Asimov's Science Fiction,,,,,
2001.0,Stanley Schmidt,,Generation Gap,Artemis,,,,,
2001.0,Mike Resnick,,Redchapel,Asimov's Science Fiction,,,,,
2001.0,Kristine Kathryn Rusch,Winner,Millennium Babies,Asimov's Science Fiction,,,,,
2001.0,Allen Steele,,Agape Among the Robots,Analog Science Fiction and Fact,,,,,
2000.0,Tom Purdom,,Fossil Games,Asimov's Science Fiction,,,,,
2000.0,Jan Jensen,,The Secret History of the Ornithopter,Fantasy & Science Fiction,,,,,
2000.0,James Patrick Kelly,Winner,1016 to 1,Asimov's Science Fiction,,,,,
2000.0,Ian R. MacLeod,,The Chop Girl,Asimov's Science Fiction,,,,,
2000.0,Greg Egan,,Border Guards,Interzone,,,,,
2000.0,Eleanor Arnason,,Stellar Harvest,Asimov's Science Fiction,,,,,
1999.0,Robert Charles Wilson,,Divided by Infinity,Starlight #2 (Tor Books),,,,,
1999.0,Nancy Kress,,Steamship Soldier on the Information Front,Future Histories (Horizon House),,,,,
1999.0,Kristine Kathryn Rusch,,Echea,Asimov's Science Fiction,,,,,
1999.0,Greg Egan,,The Planck Dive,Asimov's Science Fiction,,,,,
1999.0,Ellen Klages,,Time Gypsy,Bending the Landscape: Science Fiction (The Overlook Press),,,,,
1999.0,Bruce Sterling,Winner,Taklamakan,Asimov's Science Fiction,,,,,
1999.0,Allen Steele,,Zwarte Piet's Tale,Analog Science Fiction and Fact,,,,,
1998.0,William Sanders,,The Undiscovered,Asimov's Science Fiction,,,,,
1998.0,Stephen Baxter,,Moon Six,SF Age,,,,,
1998.0,Michael A. Burstein,,Broken Symmetry,Analog Science Fiction and Fact,,,,,
1998.0,James Alan Gardner,,Three Hearings on the Existence of Snakes in the Human Bloodstream,Asimov's Science Fiction,,,,,
1998.0,Bill Johnson,Winner,We Will Drink a Fish Together...,Asimov's Science Fiction,,,,,
1997.0,William Barton,,Age of Aquarius,Asimov's Science Fiction,,,,,
1997.0,Ursula K. Le Guin,,Mountain Ways,Asimov's Science Fiction,,,,,
1997.0,Suzy McKee Charnas,,Beauty and the Opéra or The Phantom Beast,Asimov's Science Fiction,,,,,
1997.0,Mike Resnick,,The Land of Nod,Asimov's Science Fiction,,,,,
